"","case_control_group","fruit","measure","human_fruit","human_dropped_fruit","animal_dropped_fruit","bat_fruit","tp_fruit"
"287","control, near","wood.apple","count",1768,1768,1768,1768,1707
"288","control, near","wood.apple","numNA",0,0,0,0,61
"289","control, near","elephant.apple","mean",0.389140271493213,0.043552036199095,0.0169683257918552,0.115384615384615,0.0421792618629174
"290","control, near","elephant.apple","sum",688,77,30,204,72
"291","control, near","elephant.apple","count",1768,1768,1768,1768,1707
"292","control, near","elephant.apple","numNA",0,0,0,0,61
"293","control, near","papaya","mean",0.88631221719457,0.0774886877828054,0.0769230769230769,0.510746606334842,0.439367311072056
"294","control, near","papaya","sum",1567,137,136,903,750
"295","control, near","papaya","count",1768,1768,1768,1768,1707
"296","control, near","papaya","numNA",0,0,0,0,61
"297","control, near","watermelon","mean",0.813348416289593,0.00395927601809955,0.0503393665158371,0.0599547511312217,0.000585823081429408
"298","control, near","watermelon","sum",1438,7,89,106,1
"299","control, near","watermelon","count",1768,1768,1768,1768,1707
"300","control, near","watermelon","numNA",0,0,0,0,61
"301","control, near","melon","mean",0.667986425339366,0.00226244343891403,0.0384615384615385,0.0599547511312217,0.00117164616285882
"302","control, near","melon","sum",1181,4,68,106,2
"303","control, near","melon","count",1768,1768,1768,1768,1707
"304","control, near","melon","numNA",0,0,0,0,61
"305","control, near","cashew.fruit","mean",0.154977375565611,0.0243212669683258,0.00113122171945701,0.0661764705882353,0.0146455770357352
"306","control, near","cashew.fruit","sum",274,43,2,117,25
"307","control, near","cashew.fruit","count",1768,1768,1768,1768,1707
"308","control, near","cashew.fruit","numNA",0,0,0,0,61
"309","control, near","pomegranate","mean",0.498868778280543,0.0226244343891403,0.0124434389140271,0.118212669683258,0.067369654364382
"310","control, near","pomegranate","sum",882,40,22,209,115
"311","control, near","pomegranate","count",1768,1768,1768,1768,1707
"312","control, near","pomegranate","numNA",0,0,0,0,61
"313","control, near","palmyra","mean",0.754524886877828,0.304298642533937,0.0373303167420814,0.404977375565611,0.207381370826011
"314","control, near","palmyra","sum",1334,538,66,716,354
"315","control, near","palmyra","count",1768,1768,1768,1768,1707
"316","control, near","palmyra","numNA",0,0,0,0,61
"317","control, near","plum","mean",0.680995475113122,0.218325791855204,0.0978506787330317,0.476809954751131,0.0767428236672525
"318","control, near","plum","sum",1204,386,173,843,131
"319","control, near","plum","count",1768,1768,1768,1768,1707
"320","control, near","plum","numNA",0,0,0,0,61
"321","control, near","rose.apple","mean",0.263574660633484,0.0565610859728507,0.0124434389140271,0.163461538461538,0.0661980082015231
"322","control, near","rose.apple","sum",466,100,22,289,113
"323","control, near","rose.apple","count",1768,1768,1768,1768,1707
"324","control, near","rose.apple","numNA",0,0,0,0,61
"325","control, near","indian.olive","mean",0.804298642533937,0.26131221719457,0.0627828054298643,0.319004524886878,0.195079086115993
"326","control, near","indian.olive","sum",1422,462,111,564,333
"327","control, near","indian.olive","count",1768,1768,1768,1768,1707
"328","control, near","indian.olive","numNA",0,0,0,0,61
"329","control, near","latkan","mean",0.213235294117647,0.0373303167420814,0.0186651583710407,0.0978506787330317,0.00468658465143527
"330","control, near","latkan","sum",377,66,33,173,8
"331","control, near","latkan","count",1768,1768,1768,1768,1707
"332","control, near","latkan","numNA",0,0,0,0,61
"333","control, near","monkey.jack","mean",0.226244343891403,0.0554298642533937,0.0220588235294118,0.175904977375566,0.0351493848857645
"334","control, near","monkey.jack","sum",400,98,39,311,60
"335","control, near","monkey.jack","count",1768,1768,1768,1768,1707
"336","control, near","monkey.jack","numNA",0,0,0,0,61
"337","control, near","uriam","mean",0.0186651583710407,0.00226244343891403,0.00113122171945701,0.0197963800904977,0.0164030462800234
"338","control, near","uriam","sum",33,4,2,35,28
"339","control, near","uriam","count",1768,1768,1768,1768,1707
"340","control, near","uriam","numNA",0,0,0,0,61
"341","control, near","rattan","mean",0.0639140271493213,0.00735294117647059,0.000565610859728507,0.0248868778280543,0.00820152314001172
"342","control, near","rattan","sum",113,13,1,44,14
"343","control, near","rattan","count",1768,1768,1768,1768,1707
"344","control, near","rattan","numNA",0,0,0,0,61
"345","control, near","river.ebony","mean",0.302601809954751,0.0588235294117647,0.0180995475113122,0.235859728506787,0.0919742237844171
"346","control, near","river.ebony","sum",535,104,32,417,157
"347","control, near","river.ebony","count",1768,1768,1768,1768,1707
"348","control, near","river.ebony","numNA",0,0,0,0,61
"349","control, near","star.fruit","mean",0.759615384615385,0.242081447963801,0.107466063348416,0.393099547511312,0.159343878148799
"350","control, near","star.fruit","sum",1343,428,190,695,272
"351","control, near","star.fruit","count",1768,1768,1768,1768,1707
"352","control, near","star.fruit","numNA",0,0,0,0,61
"353","control, near","wild.dates","mean",0.160633484162896,0.0684389140271493,0.0169683257918552,0.179864253393665,0.012888107791447
"354","control, near","wild.dates","sum",284,121,30,318,22
"355","control, near","wild.dates","count",1768,1768,1768,1768,1707
"356","control, near","wild.dates","numNA",0,0,0,0,61
"357","control, near","coconut","mean",0.870475113122172,0.138574660633484,0.00565610859728507,0.0531674208144796,0.565319273579379
"358","control, near","coconut","sum",1539,245,10,94,965
"359","control, near","coconut","count",1768,1768,1768,1768,1707
"360","control, near","coconut","numNA",0,0,0,0,61
"361","control, near","betel","mean",0.790723981900452,0.33710407239819,0.0107466063348416,0.462669683257919,0.411247803163445
